"word","in documents","total"
"kita",480.0,3289.0
"saya",671.0,2727.0
"bisa",281.0,915.0
"negara",269.0,842.0
"harus",236.0,714.0
"indonesia",258.0,615.0
"presiden",312.0,464.0
"ekonomi",132.0,352.0
"menteri",179.0,275.0
"kerja",173.0,256.0
"pemerintah",122.0,255.0
"daerah",123.0,252.0
"rakyat",110.0,236.0
"pembangunan",86.0,231.0
"masyarakat",99.0,221.0
"nasional",145.0,219.0
"perubahan",56.0,216.0
"program",104.0,216.0
"dunia",102.0,202.0
"provinsi",110.0,200.0
"bangsa",92.0,198.0
"satu",119.0,198.0
"masalah",78.0,179.0
"jakarta",125.0,155.0
"sosial",72.0,148.0
"bersama",94.0,147.0
"masuk",81.0,146.0
"pertama",118.0,146.0
"salam",138.0,146.0
"tanah",72.0,145.0
"berkaitan",53.0,144.0
"mereka",64.0,144.0
"rapat",129.0,140.0
"pengantar",138.0,139.0
"pertumbuhan",69.0,139.0
"kedua",95.0,135.0
"sejahtera",125.0,134.0
"gubernur",95.0,132.0
"jawa",80.0,124.0
"kementerian",58.0,121.0
"kesempatan",88.0,117.0
"kota",80.0,117.0
"lembaga",71.0,114.0
"menyampaikan",87.0,114.0
"industri",52.0,113.0
"memberikan",79.0,113.0
"kantor",84.0,110.0
"infrastruktur",65.0,108.0
"membangun",66.0,108.0
"sekalian",90.0,104.0
"ketua",71.0,103.0
"pendidikan",54.0,101.0
"pagi",83.0,100.0
"sore",76.0,92.0
"melakukan",64.0,91.0
"pimpinan",75.0,87.0
"sendiri",51.0,85.0
"tengah",58.0,85.0
"terakhir",71.0,85.0
"langsung",59.0,84.0
"waktu",62.0,84.0
"proyek",55.0,81.0
"lapangan",57.0,80.0
"membuat",50.0,78.0
"republik",72.0,78.0
"kepala",55.0,76.0
"berbahagia",67.0,74.0
"kabinet",71.0,74.0
"dilakukan",57.0,72.0
"kabupaten",54.0,72.0
"masa",52.0,71.0
"prioritas",60.0,71.0
"pelaksanaan",62.0,70.0
"mendapatkan",51.0,69.0
"mengingatkan",57.0,69.0
"pusat",51.0,69.0
"strategis",60.0,69.0
"istana",57.0,61.0
"siang",54.0,58.0
"ketiga",50.0,54.0
