"word","total"
"kita",3289
"saya",2727
"sudah",1035
"bisa",915
"negara",842
"harus",714
"indonesia",615
"presiden",464
"sangat",390
"lebih",380
"ekonomi",352
"sampaikan",287
"menteri",275
"kerja",256
"pemerintah",255
"saya_sampaikan",253
"daerah",252
"saya_kira",245
"rakyat",236
"memiliki",233
"pembangunan",231
"sekali_lagi",226
"masyarakat",221
"nasional",219
"program",216
"dunia",202
"betul_betul",200
"kita_semuanya",200
"provinsi",200
"bangsa",198
"satu",198
"masalah",179
"saya_ingin",174
"jakarta",155
"harus_kita",153
"yang_baik",150
"sosial",148
"bersama",147
"masuk",146
"pertama",146
"salam",146
"belum",145
"tanah",145
"mereka",144
"rapat",140
"pengantar",139
"pertumbuhan",139
"kita_ini",137
"terima_kasih",137
"kedua",135
"sejahtera",134
"yang_harus",134
"gubernur",132
"kita_harus",129
"saudara_saudara",129
"negara_kita",128
"jawa",124
"bisa_saya",122
"kesempatan",117
"kota",117
"lembaga",114
"menyampaikan",114
"saya_minta",114
"memberikan",113
"rapat_terbatas",113
"kantor",110
"infrastruktur",108
"membangun",108
"negara_negara",108
"sekalian",104
"ketua",103
"melihat",102
"sejahtera_bagi",99
"yang_sudah",98
"ini_akan",96
"itu_saya",94
"yang_lalu",93
"kira_itu",92
"kalau_kita",91
"melakukan",91
"seperti_ini",89
"ini_kita",87
"pimpinan",87
"terakhir",85
"waktu",84
"pengantar_presiden",82
"kesempatan_yang",81
"yang_pertama",80
"assalamualaikum_warahmatullahi",78
"republik",78
"saya_juga",78
"republik_indonesia",76
"baik_ini",75
"berbahagia",74
"kabinet",74
"para_menteri",72
"prioritas",71
"hormati_para",70
"pelaksanaan",70
"strategis",69
"di_kantor",67
"sambutan_presiden",67
"kantor_presiden",66
"yang_berbahagia",65
